name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,openIssues,closedIssues,stars
free-programming-books-zh_CN,justjavac,2013-11-04T01:59:19Z,2025-08-11T15:46:59Z,None,282,3,0,0,114929
langchain,langchain-ai,2022-10-17T02:58:36Z,2025-08-11T19:53:40Z,Jupyter Notebook,14404,944,212,8424,113319
node,nodejs,2014-11-26T19:57:11Z,2025-08-11T19:17:56Z,JavaScript,10692,454,1723,17699,112650
d3,d3,2010-09-27T17:22:42Z,2025-08-11T17:30:53Z,Shell,493,194,8,2220,111256
dify,langgenius,2023-04-12T07:40:24Z,2025-08-11T19:23:33Z,TypeScript,6891,140,690,11612,110487
free-for-dev,ripienaar,2015-03-18T21:06:26Z,2025-08-11T19:46:32Z,HTML,2753,0,0,0,109699
three.js,mrdoob,2010-03-23T18:58:01Z,2025-08-11T19:18:38Z,JavaScript,14345,171,440,12707,108039
axios,axios,2014-08-18T22:30:27Z,2025-08-11T15:56:11Z,JavaScript,998,97,417,4425,107376
open-webui,open-webui,2023-10-06T22:08:27Z,2025-08-11T20:00:50Z,JavaScript,2464,119,200,5845,106248
rust,rust-lang,2010-06-16T20:39:03Z,2025-08-11T20:02:24Z,Rust,65373,140,10654,48445,105689
TypeScript,microsoft,2014-06-17T15:28:39Z,2025-08-11T19:44:52Z,TypeScript,14671,212,5579,36840,105579
excalidraw,excalidraw,2020-01-02T01:04:43Z,2025-08-11T20:05:02Z,TypeScript,3691,14,1825,2399,105219
nodebestpractices,goldbergyoni,2017-09-15T08:33:19Z,2025-08-11T20:00:52Z,Dockerfile,765,0,43,285,103905
deno,denoland,2018-05-15T01:34:26Z,2025-08-11T19:42:52Z,Rust,13291,340,2272,10857,103842
create-react-app,facebook,2016-07-17T14:55:11Z,2025-08-11T14:31:51Z,JavaScript,1949,83,1833,6567,103422
GitHub-Chinese-Top-Charts,GrowingGit,2019-09-05T03:01:56Z,2025-08-11T17:56:50Z,Java,0,0,179,161,101146
